Hlava,Nazov Hlavy,Paragraf,Nazov Paragrafu
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 144 ,Trestný čin úkladnej vraždy
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 145,Trestný čin vražda
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 146,Trestný čin vraždy novonarodeného diet’at'a matkou
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 147,Trestný čin zabitia
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 148,Trestný čin zabitia
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 149,Trestný čin usmrtenia
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 150 ,Trestný čin nedovoleného prerušenie tehotenstva
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 151,Trestný čin nedovoleného prerušenie tehotenstva
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 152,Trestný čin nedovoleného prerušenie tehotenstva
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 153,Trestný čin nedovoleného prerušenie tehotenstva
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 154,Trestný čin účasti na samovražde
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 155,Trestný čin ubliženia na zdraví
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 156,Trestný čin ubliženia na zdraví
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 157,Trestný čin ubliženia na zdraví
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 158,Trestný čin ubliženia na zdraví
I. Hlava,TRESTNÉ ČINY PROTI ŽIVOTU A ZDRAVIU,§ 159,"Trestný čin neoprávneného odoberania orgánov, tkaniv a buniek a nezákonná sterilizácia"
