Podané obžaloby za mesiac,,,,,,,,,,,,,Podané obžaloby za rok,,,,,,,,,
,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
KP,Bratislava,0.16,0.16,0.32,0.29,0.32,0.57,0.22,0.28,0.27,0.35,,1.92,1.92,3.84,3.48,3.84,6.84,2.64,3.36,3.24,4.2
OP,Bratislava I,2.43,2.81,2.46,2.35,2.59,2.73,2.99,2.77,2.54,2.81,,29.16,33.72,29.52,28.2,31.08,32.76,35.88,33.24,30.48,33.72
OP,Bratislava II,4.26,5.02,4.65,4.65,5.18,4.49,5.9,5,5.17,5.25,,51.12,60.24,55.8,55.8,62.16,53.88,70.8,60,62.04,63
OP,Bratislava III,3.59,4.26,4.01,3.75,3.91,4.08,3.45,2.73,2.65,3.16,,43.08,51.12,48.12,45,46.92,48.96,41.4,32.76,31.8,37.92
OP,Bratislava IV,3.09,4.33,3.72,4.22,4.99,4.04,2.98,3.22,3.39,4.02,,37.08,51.96,44.64,50.64,59.88,48.48,35.76,38.64,40.68,48.24
OP,Bratislava V,3.4,3.71,3.74,4.07,4.16,3.87,3.96,4.71,4.39,4.75,,40.8,44.52,44.88,48.84,49.92,46.44,47.52,56.52,52.68,57
OP,Malacky,4.36,3.55,3.51,4.22,4.18,4.39,4.14,5.21,4.82,4.97,,52.32,42.6,42.12,50.64,50.16,52.68,49.68,62.52,57.84,59.64
OP,Pezinok,2.96,2.77,2.89,2.54,2.63,3.31,5,5.85,4.85,3.98,,35.52,33.24,34.68,30.48,31.56,39.72,60,70.2,58.2,47.76
KP,Trnava,0.15,0.14,0.32,0.23,0.42,0.27,0.57,0.28,0.39,0.7,,1.8,1.68,3.84,2.76,5.04,3.24,6.84,3.36,4.68,8.4
OP,Dunajská Streda,3.64,4.67,4.23,4.12,5.05,8.68,7.14,7.32,6.77,7.42,,43.68,56.04,50.76,49.44,60.6,104.16,85.68,87.84,81.24,89.04
