Skutočný stav prokurátorov,,,,,,,,,,,
,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
KP,Bratislava,27.23,25.92,27.65,31,30,31,28,29,30,27
OP,Bratislava I,17.37,16.19,17.3,17,15,17,17,17,17,17
OP,Bratislava II,18.4,19.59,19.12,21,20,24,20,22,17,18
OP,Bratislava III,19.08,18.14,18.16,19,19,19,19,16,16,16
OP,Bratislava IV,9.45,8.5,8.14,8,8,9,12,12,10,10
OP,Bratislava V,18.67,15.92,16,16,16,17,19,19,18,17
OP,Malacky,8.12,9,8.67,8,8,8,9,7,7,6
OP,Pezinok,6.13,6.79,6.79,8,8,8,8,10,9,10
KP,Trnava,22.27,19.15,19.51,20,17,17,18,19,19,18
OP,Dunajská Streda,12.87,10.95,10.23,9,9,8,8,7,7,8
OP,Galanta,12.75,10.94,10.42,12,12,10,9,10,8,10
OP,Piešťany,8.06,6.85,6.75,7,8,6,6,9,8,7
OP,Senica,5.75,6,5.35,5,5,5,5,6,6,6
OP,Skalica,4.05,3.88,4,6,5,5,5,6,5,5
OP,Trnava,16.06,15.86,15.62,16,16,15,15,9,10,13
KP,Trenčín,22,20.87,21.72,23,23,23,22,23,18,14
OP,Bánovce nad Bebravou,5,5,5,5,5,5,5,5,5,5
OP,Nové Mesto nad Váhom,8.92,7.05,7.04,7,8,8,9,9,8,7
OP,Partizánske,5.61,7,6.92,7,7,7,7,7,6,6
OP,Považská Bystrica,8.32,7.76,8.76,9,10,10,11,11,11,10
OP,Prievidza,11.3,10.94,12.09,13,13,12,12,13,14,13
OP,Trenčín,15.72,15.24,16.43,17,16,13,14,16,13,15
KP,Nitra,20.13,20,19.62,20,19,20,20,20,20,19
OP,Komárno,13,11,11.41,11,11,11,12,12,11,12
OP,Levice,13.04,10.9,10.59,11,10,12,11,12,10,12
OP,Nitra,22,20.9,20.88,20,18,19,18,19,22,20
OP,Nové Zámky,13.92,11.6,11.67,12,12,14,14,13,13,13
OP,Topoľčany,8,7.89,8,8,8,7,7,8,7,9
KP,Žilina,21.68,20.88,20.15,21,20,20,19,18,16,17
OP,Čadca,8.42,6.58,6.93,7,7,8,8,8,8,8
OP,Dolný Kubín,4.58,4.32,4.29,4,5,4,5,5,4,5
OP,Liptovský Mikuláš,8.28,8.37,8.11,9,8,9,9,9,9,9
OP,Martin,13.16,14.12,14.5,14,16,13,13,13,12,10
OP,Námestovo,5.5,5.08,5.33,6,6,6,8,6,5,6
OP,Ružomberok,7.17,6.87,6.88,7,8,7,7,7,6,6
OP,Žilina,19.83,17.27,16.59,18,18,19,19,19,20,20
KP,Banská Bystrica,29.93,25,26.84,26,26,26,27,24,25,22
OP,Banská Bystrica,16.02,14.42,13.72,17,18,18,18,19,13,15
OP,Brezno,7.04,6.29,6.44,8,8,8,6,8,8,9
OP,Lučenec,11.38,13,12.79,14,14,14,15,14,13,14
OP,Revúca,5.17,5,5,6,6,6,6,6,5,4
OP,Rimavská Sobota,9.67,8.76,9.12,11,10,10,10,10,9,9
OP,Veľký Krtíš,4.5,3.06,4.92,5,6,5,5,5,5,6
OP,Zvolen,14.09,15,14.92,16,16,17,15,18,13,15
OP,Žiar nad Hronom,8.85,9.46,9,10,10,10,8,10,10,9
KP,Prešov,25.96,26.69,26.72,27,27,29,28,27,21,23
OP,Bardejov,6.68,5.94,6,6,7,7,7,7,6,7
OP,Humenné,8.79,9.05,8.47,10,10,9,9,9,10,8
OP,Kežmarok,6,5.01,5.42,6,7,6,6,6,7,6
OP,Poprad,12.5,12.21,12.96,16,14,13,13,12,12,12
OP,Prešov,19.26,20.85,20.24,21,21,22,23,22,17,14
OP,Stará Ľubovňa,4.19,5,4.67,4,4,4,4,4,5,5
OP,Svidník,4.17,4,3.82,3,4,4,4,4,4,4
OP,Vranov nad Topľou,8.5,6.92,7.32,8,8,8,8,8,7,7
KP,Košice,29,29,28.62,28,28,30,24,23,29,27
OP,Košice I,19.01,16.14,14.72,13,17,19,23,22,14,15
OP,Košice II,22.17,19.97,19.05,18,17,20,21,21,16,19
OP,Košice - okolie,13.67,11.29,10.85,11,11,12,13,13,11,12
OP,Michalovce,12,12,11.96,12,12,12,13,13,12,12
OP,Rožňava,7.61,7,6.67,7,5,6,6,6,6,6
OP,Spišská Nová Ves,11.88,11.09,11.67,12,13,14,15,14,12,12
OP,Trebišov,10.72,11.87,11.16,12,12,11,12,12,10,10
