Nápad vecí na prokurátora za mesiac,,,,,,,,,,,,,Nápad vecí na prokurátora za rok,,,,,,,,,
,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
KP,Bratislava,14.1,11.97,10.38,9.69,11.12,11.4,11.55,11.6,9.63,10.06,,169.2,143.64,124.56,116.28,133.44,136.8,138.6,139.2,115.56,120.72
OP,Bratislava I,20.24,22.87,22.69,23.93,27.27,27.8,28.99,27.55,25.93,28.55,,242.88,274.44,272.28,287.16,327.24,333.6,347.88,330.6,311.16,342.6
OP,Bratislava II,18.82,19.76,21.84,23.5,25.23,22.56,29.1,26.25,32.13,32.06,,225.84,237.12,262.08,282,302.76,270.72,349.2,315,385.56,384.72
OP,Bratislava III,20.2,23.57,25.02,25.89,25.31,27.3,30.67,23.41,23.21,22.42,,242.4,282.84,300.24,310.68,303.72,327.6,368.04,280.92,278.52,269.04
OP,Bratislava IV,17.32,22.35,24.82,24.42,26.42,25.32,18.03,21.28,27.23,26.45,,207.84,268.2,297.84,293.04,317.04,303.84,216.36,255.36,326.76,317.4
OP,Bratislava V,14.69,17.69,18.85,21.83,22.75,22.15,20.31,21.99,24.75,26.12,,176.28,212.28,226.2,261.96,273,265.8,243.72,263.88,297,313.44
OP,Malacky,19.53,16.87,18.7,21.55,22.41,23.69,23.36,27.38,27.23,30.81,,234.36,202.44,224.4,258.6,268.92,284.28,280.32,328.56,326.76,369.72
OP,Pezinok,21.57,19.9,20.93,16.79,19.38,19.94,28.19,33.89,35.19,35.88,,258.84,238.8,251.16,201.48,232.56,239.28,338.28,406.68,422.28,430.56
KP,Trnava,11.6,14.05,13.2,12.79,12.44,13.66,10.16,9.45,9.34,10.12,,139.2,168.6,158.4,153.48,149.28,163.92,121.92,113.4,112.08,121.44
OP,Dunajská Streda,14.92,17.77,20.97,23.59,25.81,33.96,37.41,36.11,35.67,30.79,,179.04,213.24,251.64,283.08,309.72,407.52,448.92,433.32,428.04,369.48
OP,Galanta,20,22.53,24.68,23.26,23.86,34.88,36.92,33.24,40.7,33.2,,240,270.36,296.16,279.12,286.32,418.56,443.04,398.88,488.4,398.4
OP,Piešťany,15.22,20.31,21.11,23.32,19.35,26.04,32.14,26.85,31.88,41.65,,182.64,243.72,253.32,279.84,232.2,312.48,385.68,322.2,382.56,499.8
OP,Senica,23.67,23.89,27.14,29.22,28.65,29.05,30.67,22.71,22.47,21.75,,284.04,286.68,325.68,350.64,343.8,348.6,368.04,272.52,269.64,261
OP,Skalica,23.45,25.92,25.27,17.49,18.53,20.67,21.77,15.38,20.85,21.63,,281.4,311.04,303.24,209.88,222.36,248.04,261.24,184.56,250.2,259.56
OP,Trnava,27.21,27.39,30.24,31.03,30.3,36.39,38.51,48.38,39.5,31.39,,326.52,328.68,362.88,372.36,363.6,436.68,462.12,580.56,474,376.68
KP,Trenčín,17.83,18.17,16.62,15.71,15.53,17.88,18.74,18.19,17.02,20.5,,213.96,218.04,199.44,188.52,186.36,214.56,224.88,218.28,204.24,246
OP,Bánovce nad Bebravou,15.19,16.38,15.98,16.55,17.45,17.62,19,17.25,17.78,17.31,,182.28,196.56,191.76,198.6,209.4,211.44,228,207,213.36,207.72
OP,Nové Mesto nad Váhom,15.19,21.16,20.51,21.74,19.73,18.85,18.81,18.25,19.36,21.72,,182.28,253.92,246.12,260.88,236.76,226.2,225.72,219,232.32,260.64
OP,Partizánske,15.05,13.18,13.74,14.32,14.08,14.45,15.61,13.61,14.58,14.52,,180.6,158.16,164.88,171.84,168.96,173.4,187.32,163.32,174.96,174.24
OP,Považská Bystrica,18.07,21.67,18.82,19.31,17.69,19.77,19.92,18.42,18.2,19,,216.84,260.04,225.84,231.72,212.28,237.24,239.04,221.04,218.4,228
OP,Prievidza,17.65,20.52,19.94,18.01,19.63,21.98,22.13,22.35,22.25,23.5,,211.8,246.24,239.28,216.12,235.56,263.76,265.56,268.2,267,282
OP,Trenčín,20.78,22.41,21.49,22.05,22.97,31.96,30.74,25.91,31.56,27.63,,249.36,268.92,257.88,264.6,275.64,383.52,368.88,310.92,378.72,331.56
KP,Nitra,13.95,14.2,11.96,11.9,13.94,13.25,13.2,12.62,11.21,10.74,,167.4,170.4,143.52,142.8,167.28,159,158.4,151.44,134.52,128.88
