,,,KP Bratislava,Bratislava I,Bratislava II,Bratislava III,Bratislava IV,Bratislava V,Malacky,Pezinok,KP Trnava,Dunajská Streda,Galanta,Senica,Skalica,Trnava,KP Trenčín,Bánovce nad Bebravou,Nové Mesto nad Váhom,Partizánske,Považská Bystrica,Prievidza,Trenčín,KP Nitra,Komárno,Levice,Nitra,Nové Zámky,Topoľčany,KP Žilina,Čadca,Dolný Kubín,Liptovský Mikuláš,Martin,Námestovo,Ružomberok,Žilina,KP Banská Bystrica,Banská Bystrica,Brezno,Lučenec,Revúca,Rimavská Sobota,Veľký Krtíš,Zvolen,Žiar nad Hronom,KP Prešov,Bardejov,Humenné,Kežmarok,Poprad,Prešov,Stará Ľubovňa,Svidník,Vranov nad Topľou,KP Košice,Košice I,Košice II,Košice - okolie,Michalovce,Rožňava,Spišská Nová Ves,Trebišov
A.2006,Nápad spisov v registroch PV/KV,2006,213,4630,7537,5066,4097,4306,0,0,78,1805,2753,2039,0,5407,62,0,0,0,1392,2482,3684,86,1866,1955,3764,2113,1911,49,1575,2038,2243,2448,0,1253,4919,70,2827,1368,2428,0,2767,823,2927,1631,32,1109,1828,1064,2369,3825,628,776,1654,74,4820,5275,2043,3153,1399,2369,2549
A.2007,,2007,172,4750,7653,5206,4008,4754,0,0,69,2021,2580,2348,0,5365,59,0,0,0,1519,2841,3745,115,1868,1907,3865,2077,1791,23,1535,1665,1893,2405,0,1146,4949,74,2732,1318,2368,0,2598,905,2637,1665,33,937,1621,1084,2168,3390,603,707,1336,52,4200,4318,1827,2914,1148,2297,2388
A.2008,,2008,170,4294,5705,3832,2502,4651,2815,4922,105,2138,2922,1159,1524,2827,77,831,1942,1106,1506,2653,2211,115,1647,1749,3702,2032,1178,42,1435,642,1609,2085,1483,1098,4383,79,2420,1248,2674,1258,1691,787,2656,1523,38,1034,1400,981,2237,3000,590,638,1144,44,3501,3616,1607,2675,1065,2549,2057
A.2009,,2009,213,4246,5805,3509,2677,4908,1587,3206,93,2112,2633,1110,935,2516,58,588,1293,685,1538,2720,2654,108,1607,1914,3345,2081,1269,45,1367,567,1592,2208,913,1110,4503,67,2730,1276,2683,951,1600,737,2722,1577,37,1130,1604,956,2325,3100,621,646,1299,32,3214,3397,1763,2291,1223,2603,1843
A.2010,,2010,183,3831,4902,3003,2086,3849,1477,3155,72,1879,2541,882,735,2316,58,565,1054,610,1367,2264,2446,144,1559,1719,3433,1879,1045,56,1192,550,1344,1993,903,956,4113,65,2132,1227,2309,932,1482,669,2353,1472,20,922,1439,869,2119,3051,669,557,1120,43,2977,3194,1820,2299,1008,2385,1847
A.2011,,2011,183,3131,4529,3088,2122,3774,1411,2647,97,2004,2590,860,731,2185,50,575,1080,578,1429,2281,2454,95,1559,1645,3239,1892,1090,49,1200,552,1360,2094,750,922,4002,74,2194,1235,2407,860,1445,731,2294,1429,39,951,1442,853,1863,3000,573,557,1166,28,3210,3506,2006,2347,1071,2385,1916
A.2012,,2012,113,2862,4596,2783,1868,3453,1486,2759,97,2078,2601,882,606,2573,29,509,1161,626,1466,2225,2333,34,1647,1601,3036,1841,975,15,1145,422,1438,1973,802,894,3747,55,1985,1273,1977,782,1356,700,2267,1365,53,994,1566,785,1774,2970,581,631,1066,15,3079,3432,2044,2217,1160,2422,1819
A.2013,,2013,80,2781,4478,4542,1484,2980,1618,1578,95,2292,2502,957,702,3435,39,537,1108,686,1548,1907,2225,66,1539,1706,3063,2009,1052,20,1100,430,1270,1904,774,944,3653,66,1855,1244,1917,749,1389,703,2323,1550,46,1005,1459,846,1833,2850,655,670,1159,25,3018,3239,2075,2144,1174,2382,1942
A.2014,,2014,116,2340,4167,3627,1351,2747,1399,919,84,1965,2389,903,630,2889,83,491,966,537,1243,1737,2167,134,1386,1609,3023,1853,897,39,1098,458,1152,1779,721,765,3629,82,1859,934,1828,673,1227,664,1938,1205,42,914,1318,845,1685,2520,525,544,1159,45,2985,3215,1764,1893,943,1974,1585
A.2015,,2015,77,2116,3712,3273,1391,2718,1220,797,91,1440,2066,804,556,2707,64,493,988,525,1058,1612,1776,100,1231,1495,2717,1498,912,70,940,407,973,1674,616,712,3142,57,1583,794,1418,662,1221,539,1677,1162,46,741,1219,722,1305,2314,451,481,995,26,2507,2882,1674,1807,935,1876,1496
