Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2002   ( Tr.zákon è.140/1961 Zb. ) ,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
I. HLAVA Tr. zákona                     ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 94                                    ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 106                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 107                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
II. HLAVA Tr. zákona                    ,  2 489,   966,   39, 1 926 264,   50,   2,   ,   ,   ,   ,   75,   ,   ,  1 048,   2,   ,   ,   ,   ,   83,   ,   ,
§ 118                                   ,   52,   26,   50,   367,   1,   ,   ,   ,   ,   ,   ,   ,   ,   17,   ,   ,   ,   ,   ,   ,   ,   ,
§ 121                                   ,   4,   1,   25,   733,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 122                                   ,   6,   3,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 124                                   ,   85,   53,   62,  324 888,   1,   ,   ,   ,   ,   ,   ,   ,   ,   55,   ,   ,   ,   ,   ,   ,   ,   ,
§ 124a                                  ,   5,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 125                                   ,   61,   21,   34,  116 312,   ,   ,   ,   ,   ,   ,   ,   ,   ,   17,   ,   ,   ,   ,   ,   ,   ,   ,
§ 127                                   ,   17,   4,   24,  14 315,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 128                                   ,   21,   6,   29,  1 700,   ,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 128a                                  ,   6,   2,   33,  60 866,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 140                                   ,   701,   93,   13,   ,   3,   ,   ,   ,   ,   ,   73,   ,   ,   121,   ,   ,   ,   ,   ,   81,   ,   ,
§ 141                                   ,   7,   3,   43,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   3,   ,   ,   ,   ,   ,   2,   ,   ,
§ 142                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 145                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 145a                                  ,   17,   8,   47,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 146                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 148                                   ,   477,   220,   46, 1 388 514,   13,   ,   ,   ,   ,   ,   ,   ,   ,   235,   ,   ,   ,   ,   ,   ,   ,   ,
§ 148a                                  ,   644,   282,   44,  11 994,   28,   ,   ,   ,   ,   ,   ,   ,   ,   336,   ,   ,   ,   ,   ,   ,   ,   ,
§ 148b                                  ,   207,   110,   53,  1 915,   ,   1,   ,   ,   ,   ,   ,   ,   ,   99,   1,   ,   ,   ,   ,   ,   ,   ,
§ 148c                                  ,   36,   32,   89,   454,   ,   1,   ,   ,   ,   ,   ,   ,   ,   32,   1,   ,   ,   ,   ,   ,   ,   ,
§ 149                                   ,   9,   3,   33,  1 732,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 150                                   ,   39,   27,   69,   934,   ,   ,   ,   ,   ,   ,   ,   ,   ,   27,   ,   ,   ,   ,   ,   ,   ,   ,
§ 151                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 152                                   ,   87,   69,   79,  1 536,   1,   ,   ,   ,   ,   ,   ,   ,   ,   69,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
III. HLAVA Tr. zákona                   ,  3 895,  3 457,   89,  166 110,   26,   675,   4,   5,   ,   ,   118,   8,   ,  3 098,   530,   3,   5,   ,   ,   97,   5,   ,
§ 153                                   ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 154/1                                 ,   5,   2,   40,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   3,   1,   ,   ,   ,   ,   ,   ,   ,
§ 154/2                                 ,   8,   5,   63,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
§ 155                                   ,   340,   323,   95,   85,   5,   130,   2,   ,   ,   ,   8,   3,   ,   310,   115,   1,   ,   ,   ,   8,   2,   ,
§ 156/1                                 ,   86,   83,   97,   ,   2,   39,   ,   ,   ,   ,   3,   1,   ,   67,   29,   ,   ,   ,   ,   2,   1,   ,
§ 158                                   ,   253,   117,   46,  104 527,   3,   ,   ,   ,   ,   ,   ,   ,   ,   124,   ,   ,   ,   ,   ,   ,   ,   ,
§ 159                                   ,   25,   15,   60,  54 321,   ,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
