Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
I. HLAVA Tr. zákona                     ,  8 472,  4 895,   58,  189 255,  1 435,   872,   46,   40,   ,   ,   445,   40,   1,  6 568,   909,   43,   45,   ,   ,   465,   41,   1,
§ 144                                   ,   13,   3,   23,   71,   1,   ,   ,   ,   ,   ,   2,   ,   ,   7,   ,   ,   ,   ,   ,   5,   ,   ,
§ 145                                   ,   72,   62,   86,  2 010,   3,   32,   ,   ,   ,   ,   4,   2,   ,   70,   33,   ,   ,   ,   ,   4,   2,   ,
§ 146                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 147                                   ,   34,   18,   53,   ,   2,   8,   ,   ,   ,   ,   ,   ,   ,   21,   8,   ,   ,   ,   ,   ,   ,   ,
§ 148                                   ,   23,   7,   30,   5,   1,   2,   ,   ,   ,   ,   2,   ,   ,   10,   2,   ,   ,   ,   ,   2,   ,   ,
§ 149                                   ,   773,   211,   27,  37 632,   123,   47,   1,   1,   ,   ,   6,   ,   ,   350,   47,   1,   1,   ,   ,   6,   ,   ,
§ 154                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 155                                   ,   401,   258,   64,   342,   62,   115,   ,   2,   ,   ,   25,   5,   ,   362,   129,   ,   2,   ,   ,   26,   6,   ,
