Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2012,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
I. HLAVA Tr. zákona                     ,  6 390,  4 207,   66,  1 223,   792,   658,   76,   35,   ,   ,   331,   37,   3,  5 259,   707,   78,   38,   ,   ,   356,   44,   3,
§ 144                                   ,   20,   8,   40,   ,   1,   ,   ,   ,   ,   ,   2,   ,   ,   12,   ,   ,   ,   ,   ,   5,   ,   ,
§ 145                                   ,   49,   40,   82,   12,   5,   18,   3,   ,   ,   ,   3,   ,   1,   49,   18,   3,   ,   ,   ,   3,   ,   1,
§ 146                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 147                                   ,   19,   9,   47,   ,   ,   6,   ,   ,   ,   ,   1,   1,   ,   12,   9,   ,   ,   ,   ,   2,   2,   ,
§ 148                                   ,   13,   4,   31,   ,   1,   2,   ,   ,   ,   ,   ,   ,   ,   5,   2,   ,   ,   ,   ,   ,   ,   ,
§ 149                                   ,   480,   128,   27,   127,   69,   26,   2,   ,   ,   ,   2,   1,   ,   204,   25,   2,   ,   ,   ,   2,   1,   ,
§ 154                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 155                                   ,   232,   178,   77,   ,   19,   71,   ,   2,   ,   ,   17,   5,   ,   232,   75,   ,   2,   ,   ,   19,   5,   ,
§ 156                                   ,  1 948,  1 366,   70,   8,   122,   395,   3,   20,   ,   ,   163,   24,   ,  1 699,   458,   3,   23,   ,   ,   187,   30,   ,
§ 157                                   ,   817,   546,   67,   423,   173,   58,   ,   7,   ,   ,   9,   1,   ,   719,   54,   ,   7,   ,   ,   9,   1,   ,
§ 158                                   ,   784,   505,   64,   651,   92,   29,   2,   2,   ,   ,   8,   ,   ,   594,   27,   2,   2,   ,   ,   8,   ,   ,
§ 160                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 162                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 163                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 164                                   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,
§ 167                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,
§ 168                                   ,   3,   3,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 169                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   2,   ,   ,   ,   ,   ,   1,   ,   ,
§ 171                                   ,  1 195,   807,   68,   ,   192,   23,   32,   1,   ,   ,   77,   4,   ,   987,   23,   34,   1,   ,   ,   73,   4,   ,
§ 172/1A                                ,   100,   67,   67,   ,   12,   4,   9,   ,   ,   ,   2,   ,   ,   96,   4,   10,   ,   ,   ,   2,   ,   ,
§ 172/1B                                ,   91,   54,   59,   ,   7,   1,   2,   ,   ,   ,   ,   ,   ,   78,   1,   2,   ,   ,   ,   ,   ,   ,
§ 172/1C                                ,   372,   295,   79,   ,   55,   5,   16,   ,   ,   ,   23,   1,   2,   381,   5,   16,   ,   ,   ,   24,   1,   2,
§ 172/1D                                ,   113,   88,   78,   ,   29,   1,   7,   ,   ,   ,   7,   ,   ,   118,   1,   6,   ,   ,   ,   7,   ,   ,
§ 173                                   ,   8,   4,   50,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 174                                   ,   71,   63,   89,   ,   6,   2,   ,   2,   ,   ,   15,   ,   ,   45,   1,   ,   2,   ,   ,   13,   ,   ,
§ 175                                   ,   7,   4,   57,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 177                                   ,   7,   4,   57,   ,   2,   3,   ,   ,   ,   ,   ,   ,   ,   6,   4,   ,   ,   ,   ,   ,   ,   ,
§ 178                                   ,   51,   30,   59,   ,   3,   14,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
II. HLAVA Tr. zákona                    ,  3 549,  2 301,   65,  5 194,   183,   373,   12,   172,   2,   ,   622,   24,   ,  2 744,   385,   14,   193,   2,   ,   667,   30,   ,
§ 179/1                                 ,   19,   2,   11,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
§ 179/2                                 ,   4,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 182                                   ,   2,   ,   ,   3,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 183                                   ,   88,   56,   64,   22,   7,   21,   1,   2,   ,   ,   5,   1,   ,   58,   14,   ,   6,   ,   ,   4,   1,   ,
§ 186                                   ,   7,   3,   43,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 187                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 188                                   ,   974,   555,   57,  3 633,   41,   95,   5,   24,   ,   ,   158,   14,   ,   764,   109,   4,   24,   ,   ,   201,   19,   ,
§ 189                                   ,   505,   326,   65,  1 060,   40,   52,   3,   50,   ,   ,   47,   ,   ,   369,   48,   2,   49,   ,   ,   46,   ,   ,
